officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude,latitude,longitude
Aloor B.O,504110,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Nirmal,Adilabad,TELANGANA,NA,Chincholi (B) S.O,Adilabad H.O,-73.9029519,40.7067976,40.7067976,-73.9029519
Ambaripet B.O,504202,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Khanapur,Adilabad,TELANGANA,NA,Peddur S.O,Adilabad H.O,78.81772346,19.07721042,19.07721042,78.81772346
Andavelli B.O,504296,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Sirpur (t),Adilabad,TELANGANA,NA,Sirpur Khagaznagar S.O,Mancherial H.O,79.48594024285714,19.34905569047619,19.34905569047619,79.48594024285714
Andugulpet B.O,504231,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,NA,Kalyani Khani S.O,Mancherial H.O,79.38032780909091,19.056964609090908,19.056964609090908,79.38032780909091
Andukur B.O,504109,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Nirmal,Adilabad,TELANGANA,NA,Kuntala S.O,Adilabad H.O,78.10702962,19.16480516,19.16480516,78.10702962
Angarajpally B.O,504201,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Chennur,Adilabad,TELANGANA,NA,Chinnoor S.O,Mancherial H.O,79.79177986666666,18.851217066666667,18.851217066666667,79.79177986666666
Ankhoda B.O,504299,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Kagaznagar,Adilabad,TELANGANA,NA,Sirpur (T) S.O,Mancherial H.O,79.71366717272727,19.44049310909091,19.44049310909091,79.71366717272727
Ankoli B.O,504002,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,Dasnapur Colony  D.S.O,Adilabad H.O,78.51589015,19.616035275,19.616035275,78.51589015
Annaram B.O,504201,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Chennur,Adilabad,TELANGANA,NA,Chinnoor S.O,Mancherial H.O,79.79177986666666,18.851217066666667,18.851217066666667,79.79177986666666
Arepally B.O,504204,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Chennur,Adilabad,TELANGANA,NA,Bheemaram S.O,Mancherial H.O,79.64917477962962,18.95378627037037,18.95378627037037,79.64917477962962
Arli (T) B.O,504312,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,Tamsi S.O,Adilabad H.O,78.40256918125,19.650010175,19.650010175,78.40256918125
Ashepally B.O,504313,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Jainoor S.O,Adilabad H.O,NA,NA,NA,NA
Ashta B.O,504101,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,NA,Basar S.O (Adilabad),Adilabad H.O,77.98336876,18.940536859999998,18.940536859999998,77.98336876
Asifabad S.O,504293,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,08733-279530,NA,Mancherial H.O,79.26363282727273,19.37277413636364,19.37277413636364,79.26363282727273
Asnad B.O,504201,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Chennur,Adilabad,TELANGANA,NA,Chinnoor S.O,Mancherial H.O,79.79177986666666,18.851217066666667,18.851217066666667,79.79177986666666
Awadam B.O,504204,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Chennur,Adilabad,TELANGANA,NA,Bheemaram S.O,Mancherial H.O,79.64917477962962,18.95378627037037,18.95378627037037,79.64917477962962
Babapur B.O,504293,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Asifabad S.O,Mancherial H.O,79.26363282727273,19.37277413636364,19.37277413636364,79.26363282727273
Babasagar B.O,504299,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Sirpur(t),Adilabad,TELANGANA,NA,Sirpur (T) S.O,Mancherial H.O,79.71366717272727,19.44049310909091,19.44049310909091,79.71366717272727
Badampally B.O,504205,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,NA,Jannaram S.O,Mancherial H.O,79.22219413809523,18.99003103809524,18.99003103809524,79.22219413809523
Badankurthy B.O,504203,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,NA,Adilabad,TELANGANA,NA,Khanapur S.O (Adilabad),Adilabad H.O,78.6508586368421,19.063405542105265,19.063405542105265,78.6508586368421
Bambara B.O,504295,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Wankidi S.O,Mancherial H.O,79.3019028,19.475459819999998,19.475459819999998,79.3019028
Bangalpet B.O,504106,B.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Nirmal,Adilabad,TELANGANA,NA,Nirmal S.O (Adilabad),Adilabad H.O,78.3506597511628,19.09591996511628,19.09591996511628,78.3506597511628
Bansapalli B.O,504306,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Nirmal,Adilabad,TELANGANA,NA,Dilawarpur S.O,Adilabad H.O,78.33082145,19.1631938,19.1631938,78.33082145
Bapur B.O,504299,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Sirpur (t),Adilabad,TELANGANA,NA,Sirpur (T) S.O,Mancherial H.O,79.71366717272727,19.44049310909091,19.44049310909091,79.71366717272727
Bareguda B.O,504296,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Sirpur Khagaznagar S.O,Mancherial H.O,79.48594024285714,19.34905569047619,19.34905569047619,79.48594024285714
Basar S.O (Adilabad),504101,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,08752-243502,NA,Adilabad H.O,77.98336876,18.940536859999998,18.940536859999998,77.98336876
Bazar Hathnur B.O,504304,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Boath,Adilabad,TELANGANA,NA,Boath S.O,Adilabad H.O,78.32981556666667,19.387024383333333,19.387024383333333,78.32981556666667
Beernandi B.O,504203,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,NA,Adilabad,TELANGANA,NA,Khanapur S.O (Adilabad),Adilabad H.O,78.6508586368421,19.063405542105265,19.063405542105265,78.6508586368421
Bejjur B.O,504299,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Sirpur (t),Adilabad,TELANGANA,NA,Sirpur (T) S.O,Mancherial H.O,79.71366717272727,19.44049310909091,19.44049310909091,79.71366717272727
Bela B.O,504309,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,Gumma S.O (Adilabad),Adilabad H.O,78.76683665833333,19.684897525,19.684897525,78.76683665833333
Bellalbadi B.O,504202,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Khanapur,Adilabad,TELANGANA,NA,Peddur S.O,Adilabad H.O,78.81772346,19.07721042,19.07721042,78.81772346
Bellampalli R.S. S.O,504251,S.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Bellampalle,Adilabad,TELANGANA,08735-222070,NA,Mancherial H.O,79.48886499,19.06762126,19.06762126,79.48886499
Bellampalli S.O,504251,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Bellampalle,Adilabad,TELANGANA,08735-222030,NA,Mancherial H.O,79.48886499,19.06762126,19.06762126,79.48886499
Beltharoda B.O,504103,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,NA,Bhainsa S.O (Adilabad),Adilabad H.O,77.98201276296297,19.125386092592596,19.125386092592596,77.98201276296297
Bhagyanagar S.O (Adilabad),504001,S.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,08732-232662,NA,Adilabad H.O,-73.7118033,3.5492338,3.5492338,-73.7118033
Bhainsa S.O (Adilabad),504103,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,08752-231013,NA,Adilabad H.O,77.98201276296297,19.125386092592596,19.125386092592596,77.98201276296297
Bharampur B.O,504308,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,Gudihatnoor S.O,Adilabad H.O,78.51744965,19.52180296,19.52180296,78.51744965
Bheemaram S.O,504204,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Chennur,Adilabad,TELANGANA,08737-244030,NA,Mancherial H.O,79.64917477962962,18.95378627037037,18.95378627037037,79.64917477962962
Bheempur B.O,504311,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Ootnur S.O,Adilabad H.O,78.80627756206896,19.447984824137933,19.447984824137933,78.80627756206896
Bheemsari B.O,504002,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,Dasnapur Colony  D.S.O,Adilabad H.O,78.51589015,19.616035275,19.616035275,78.51589015
Bhimini B.O,504273,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Rechini S.O,Mancherial H.O,79.62007575,19.20836965,19.20836965,79.62007575
Bholsa B.O,504103,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,NA,Bhainsa S.O (Adilabad),Adilabad H.O,77.98201276296297,19.125386092592596,19.125386092592596,77.98201276296297
Bhosi B.O,504103,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,NA,Bhainsa S.O (Adilabad),Adilabad H.O,77.98201276296297,19.125386092592596,19.125386092592596,77.98201276296297
Bhuktapur S.O,504001,S.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,08732-233035,NA,Adilabad H.O,-73.7118033,3.5492338,3.5492338,-73.7118033
Bhutai B.O,504304,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Boath,Adilabad,TELANGANA,NA,Boath S.O,Adilabad H.O,78.32981556666667,19.387024383333333,19.387024383333333,78.32981556666667
Bibra B.O,504273,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Rechini S.O,Mancherial H.O,79.62007575,19.20836965,19.20836965,79.62007575
Bidrelli B.O,504101,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,NA,Basar S.O (Adilabad),Adilabad H.O,77.98336876,18.940536859999998,18.940536859999998,77.98336876
Birsaipet B.O,504311,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Ootnur S.O,Adilabad H.O,78.80627756206896,19.447984824137933,19.447984824137933,78.80627756206896
Birvelli B.O,504306,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Nirmal,Adilabad,TELANGANA,NA,Dilawarpur S.O,Adilabad H.O,78.33082145,19.1631938,19.1631938,78.33082145
Boath S.O,504304,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Boath,Adilabad,TELANGANA,08751-245210,NA,Adilabad H.O,78.32981556666667,19.387024383333333,19.387024383333333,78.32981556666667
Bodepalli B.O,504273,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Rechini S.O,Mancherial H.O,79.62007575,19.20836965,19.20836965,79.62007575
Boregaon B.O,504101,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,NA,Basar S.O (Adilabad),Adilabad H.O,77.98336876,18.940536859999998,18.940536859999998,77.98336876
Boregaon B.O,504307,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Boath,Adilabad,TELANGANA,NA,Echoda S.O,Adilabad H.O,78.47671847999999,19.40803286,19.40803286,78.47671847999999
Borigaon B.O,504110,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Nirmal,Adilabad,TELANGANA,NA,Chincholi (B) S.O,Adilabad H.O,-73.9029519,40.7067976,40.7067976,-73.9029519
Boyapalli B.O,504272,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Tandur (A) S.O,Mancherial H.O,79.4527115,19.14865385,19.14865385,79.4527115
Brahmangaon B.O,504101,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,NA,Basar S.O (Adilabad),Adilabad H.O,77.98336876,18.940536859999998,18.940536859999998,77.98336876
Budakalan B.O,504251,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,NA,Bellampalli S.O,Mancherial H.O,79.48886499,19.06762126,19.06762126,79.48886499
Budakurd B.O,504251,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,NA,Bellampalli S.O,Mancherial H.O,79.48886499,19.06762126,19.06762126,79.48886499
Buggaram B.O,504323,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Neradigonda,Adilabad,TELANGANA,NA,Neradigonda S.O,Adilabad H.O,78.400221375,19.306671375,19.306671375,78.400221375
Burguda B.O,504293,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Asifabad S.O,Mancherial H.O,79.26363282727273,19.37277413636364,19.37277413636364,79.26363282727273
Chakepalli B.O,504272,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Tandur (A) S.O,Mancherial H.O,79.4527115,19.14865385,19.14865385,79.4527115
Chanda (T) B.O,504002,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,Dasnapur Colony  D.S.O,Adilabad H.O,78.51589015,19.616035275,19.616035275,78.51589015
Chandaram B.O,504215,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,NA,Luxettipet S.O,Mancherial H.O,79.20705808333334,18.905140125,18.905140125,79.20705808333334
Chandur B.O,504311,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Ootnur S.O,Adilabad H.O,78.80627756206896,19.447984824137933,19.447984824137933,78.80627756206896
Chaprala B.O,504309,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,Gumma S.O (Adilabad),Adilabad H.O,78.76683665833333,19.684897525,19.684897525,78.76683665833333
Chata B.O,504103,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Kubeer,Adilabad,TELANGANA,NA,Bhainsa S.O (Adilabad),Adilabad H.O,77.98201276296297,19.125386092592596,19.125386092592596,77.98201276296297
Chedwai B.O,504296,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Sirpur (t),Adilabad,TELANGANA,NA,Sirpur Khagaznagar S.O,Mancherial H.O,79.48594024285714,19.34905569047619,19.34905569047619,79.48594024285714
Chichdhari Khanapur B.O,504346,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Indervelli S.O,Adilabad H.O,78.67615654375,19.49211896875,19.49211896875,78.67615654375
Chichondi B.O,504103,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,NA,Bhainsa S.O (Adilabad),Adilabad H.O,77.98201276296297,19.125386092592596,19.125386092592596,77.98201276296297
Chincholi (B) S.O,504110,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Nirmal,Adilabad,TELANGANA,08734-256173,NA,Adilabad H.O,-73.9029519,40.7067976,40.7067976,-73.9029519
Chinchughat B.O,504002,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,Dasnapur Colony  D.S.O,Adilabad H.O,78.51589015,19.616035275,19.616035275,78.51589015
Chinnoor S.O,504201,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Chennoor,Adilabad,TELANGANA,08737-241230,NA,Mancherial H.O,79.79177986666666,18.851217066666667,18.851217066666667,79.79177986666666
Chintaguda B.O,504296,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Sirpur (t),Adilabad,TELANGANA,NA,Sirpur Khagaznagar S.O,Mancherial H.O,79.48594024285714,19.34905569047619,19.34905569047619,79.48594024285714
Chintaguda B.O,504205,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,NA,Jannaram S.O,Mancherial H.O,79.22219413809523,18.99003103809524,18.99003103809524,79.22219413809523
Chintakunta B.O,504299,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Sirpur (t),Adilabad,TELANGANA,NA,Sirpur (T) S.O,Mancherial H.O,79.71366717272727,19.44049310909091,19.44049310909091,79.71366717272727
Chintalamanepalli B.O,504299,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Sirpur (t),Adilabad,TELANGANA,NA,Sirpur (T) S.O,Mancherial H.O,79.71366717272727,19.44049310909091,19.44049310909091,79.71366717272727
Chintalbori B.O,504304,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Boath,Adilabad,TELANGANA,NA,Boath S.O,Adilabad H.O,78.32981556666667,19.387024383333333,19.387024383333333,78.32981556666667
Chintalchanda B.O,504310,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Nirmal,Adilabad,TELANGANA,NA,Mamda S.O,Adilabad H.O,78.5218268,19.07566135,19.07566135,78.5218268
Chirrakunta S.O,504294,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,08733-278635,NA,Mancherial H.O,79.2627713,19.3094575,19.3094575,79.2627713
Chityal B.O,504306,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Nirmal,Adilabad,TELANGANA,NA,Dilawarpur S.O,Adilabad H.O,78.33082145,19.1631938,19.1631938,78.33082145
Chityal B.O,504202,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Kaddam (Peddur),Adilabad,TELANGANA,NA,Peddur S.O,Adilabad H.O,78.81772346,19.07721042,19.07721042,78.81772346
Chondi B.O,504103,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,NA,Bhainsa S.O (Adilabad),Adilabad H.O,77.98201276296297,19.125386092592596,19.125386092592596,77.98201276296297
Chorpalli B.O,504313,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Jainoor S.O,Adilabad H.O,78.94191445,19.362848416666665,19.362848416666665,78.94191445
Coal Chemical Complex S.O,504302,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mancherial,Adilabad,TELANGANA,08736-239230,NA,Mancherial H.O,79.484834365,18.873017895,18.873017895,79.484834365
Cotton Market B.O,504002,B.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,Dasnapur Colony  D.S.O,Adilabad H.O,78.51589015,19.616035275,19.616035275,78.51589015
Dabba B.O,504299,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Sirpur (t),Adilabad,TELANGANA,NA,Sirpur (T) S.O,Mancherial H.O,79.71366717272727,19.44049310909091,19.44049310909091,79.71366717272727
Dandepalli S.O,504206,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,08739-249430,NA,Mancherial H.O,79.15364455714285,18.977010914285714,18.977010914285714,79.15364455714285
Dantanpalli B.O,504311,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Ootnur S.O,Adilabad H.O,78.80627756206896,19.447984824137933,19.447984824137933,78.80627756206896
Dasnapur B.O,504346,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Indervelli S.O,Adilabad H.O,78.67615654375,19.49211896875,19.49211896875,78.67615654375
Dasnapur Colony  D.S.O,504002,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,NA,Adilabad H.O,78.51589015,19.616035275,19.616035275,78.51589015
Dasnapur Colony S.O,504001,S.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,08732-226772,NA,Adilabad H.O,-73.7118033,3.5492338,3.5492338,-73.7118033
Dasturabad B.O,504202,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Khanapur,Adilabad,TELANGANA,NA,Peddur S.O,Adilabad H.O,78.81772346,19.07721042,19.07721042,78.81772346
Deepaiguda B.O,504309,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,Gumma S.O (Adilabad),Adilabad H.O,78.76683665833333,19.684897525,19.684897525,78.76683665833333
Dehgaon B.O,504304,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Boath,Adilabad,TELANGANA,NA,Boath S.O,Adilabad H.O,78.32981556666667,19.387024383333333,19.387024383333333,78.32981556666667
Dehgaon B.O,504273,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Rechini S.O,Mancherial H.O,79.62007575,19.20836965,19.20836965,79.62007575
Dehgaon B.O,504102,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,NA,Mudhole S.O,Adilabad H.O,77.88849187142857,19.00116637142857,19.00116637142857,77.88849187142857
Devaiguda B.O,504294,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Chirrakunta S.O,Mancherial H.O,79.2627713,19.3094575,19.3094575,79.2627713
Devapur B.O,504293,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Asifabad S.O,Mancherial H.O,79.26363282727273,19.37277413636364,19.37277413636364,79.26363282727273
Devapur B.O,504308,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,Gudihatnoor S.O,Adilabad H.O,78.51744965,19.52180296,19.52180296,78.51744965
Devapur Cement Works S.O,504218,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,08736-240530,NA,Mancherial H.O,79.33315365,19.0468331,19.0468331,79.33315365
Dewalwada B.O,504201,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Chennur,Adilabad,TELANGANA,NA,Chinnoor S.O,Mancherial H.O,79.79177986666666,18.851217066666667,18.851217066666667,79.79177986666666
Dhaba B.O,504311,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Ootnur S.O,Adilabad H.O,78.80627756206896,19.447984824137933,19.447984824137933,78.80627756206896
Dhaboli B.O,504313,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Jainoor S.O,Adilabad H.O,78.94191445,19.362848416666665,19.362848416666665,78.94191445
Dhani B.O,504110,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Nirmal,Adilabad,TELANGANA,NA,Chincholi (B) S.O,Adilabad H.O,-73.9029519,40.7067976,40.7067976,-73.9029519
Dhannoor B.O,504304,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Boath,Adilabad,TELANGANA,NA,Boath S.O,Adilabad H.O,78.32981556666667,19.387024383333333,19.387024383333333,78.32981556666667
Dhanora(B) B.O,504346,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Indervelli S.O,Adilabad H.O,78.67615654375,19.49211896875,19.49211896875,78.67615654375
Dharmaram B.O,504205,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,NA,Jannaram S.O,Mancherial H.O,79.22219413809523,18.99003103809524,18.99003103809524,79.22219413809523
Dharmaraopet B.O,504231,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,NA,Kalyani Khani S.O,Mancherial H.O,79.38032780909091,19.056964609090908,19.056964609090908,79.38032780909091
Dhorpalli B.O,504299,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Sirpur (t),Adilabad,TELANGANA,NA,Sirpur (T) S.O,Mancherial H.O,79.71366717272727,19.44049310909091,19.44049310909091,79.71366717272727
Dilawarpur B.O,504203,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,NA,Adilabad,TELANGANA,NA,Khanapur S.O (Adilabad),Adilabad H.O,78.6508586368421,19.063405542105265,19.063405542105265,78.6508586368421
