officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude,latitude,longitude
Saja S.O,491993,S.O,Delivery,Durg,Raipur,Chattisgarh,Saja,Durg,CHATTISGARH,07825-269244,NA,Durg H.O,81.3138009,21.665118333333336,21.665118333333336,81.3138009
Sakha B.O,491885,B.O,Delivery,Durg,Raipur,Chattisgarh,Chhuikhadan,Rajnandgaon,CHATTISGARH,NA,Chhuikhadan S.O,Rajnandgaon H.O,80.96866652,21.58291234,21.58291234,80.96866652
Saldha B.O,491993,B.O,Delivery,Durg,Raipur,Chattisgarh,Saja,Durg,CHATTISGARH,NA,Saja S.O,Durg H.O,81.3138009,21.665118333333336,21.665118333333336,81.3138009
Salhe B.O,491228,B.O,Delivery,Durg,Raipur,Chattisgarh,Dondi Awari,Durg,CHATTISGARH,NA,Dallirajhara S.O,Durg H.O,81.09595541111112,20.563342333333335,20.563342333333335,81.09595541111112
Salhetola B.O,491558,B.O,Delivery,Durg,Raipur,Chattisgarh,Dongargaon,Rajnandgaon,CHATTISGARH,NA,Chhuria S.O,Rajnandgaon H.O,80.75278165,21.0045642,21.0045642,80.75278165
Salhewara B.O,491888,B.O,Delivery,Durg,Raipur,Chattisgarh,Gandai Pandaria,Rajnandgaon,CHATTISGARH,NA,Gandai Pandaria S.O,Rajnandgaon H.O,81.1069182,21.56587275,21.56587275,81.1069182
Saloni B.O,491444,B.O,Delivery,Durg,Raipur,Chattisgarh,Rajnandgaon,Rajnandgaon,CHATTISGARH,NA,Ghumka S.O,Rajnandgaon H.O,81.06545818,21.21730794,21.21730794,81.06545818
Sambalpur B.O,491771,B.O,Delivery,Durg,Raipur,Chattisgarh,Dondi Lohara,Durg,CHATTISGARH,NA,Dondi Lohara S.O,Durg H.O,81.016027624,20.84012526,20.84012526,81.016027624
Sambalpur B.O,491340,B.O,Delivery,Durg,Raipur,Chattisgarh,Nandghat,Durg,CHATTISGARH,NA,Nandghat S.O,Durg H.O,81.8085755,21.8863205,21.8863205,81.8085755
Samnapur B.O,491888,B.O,Delivery,Durg,Raipur,Chattisgarh,Gandai Pandaria,Rajnandgaon,CHATTISGARH,NA,Gandai Pandaria S.O,Rajnandgaon H.O,81.1069182,21.56587275,21.56587275,81.1069182
Sanjari B.O,491771,B.O,Delivery,Durg,Raipur,Chattisgarh,Dondi Lohara,Durg,CHATTISGARH,NA,Dondi Lohara S.O,Durg H.O,81.016027624,20.84012526,20.84012526,81.016027624
Sankra B.O,491111,B.O,Delivery,Durg,Raipur,Chattisgarh,Patan,Durg,CHATTISGARH,NA,Patan S.O (Durg),Durg H.O,81.54017246666666,21.042376766666667,21.042376766666667,81.54017246666666
Sankra J B.O,491226,B.O,Delivery,Durg,Raipur,Chattisgarh,Balod,Durg,CHATTISGARH,NA,Balod S.O,Durg H.O,81.22395363170732,20.701281207317074,20.701281207317074,81.22395363170732
Sanoud B.O,491222,B.O,Delivery,Durg,Raipur,Chattisgarh,Gunderdehi,Durg,CHATTISGARH,NA,Sikosa S.O,Durg H.O,81.36927469285715,20.836447714285715,20.836447714285715,81.36927469285715
Santra B.O,491111,B.O,Delivery,Durg,Raipur,Chattisgarh,Patan,Durg,CHATTISGARH,NA,Patan S.O (Durg),Durg H.O,81.54017246666666,21.042376766666667,21.042376766666667,81.54017246666666
Sarangpurkhurd B.O,491995,B.O,Delivery,Durg,Raipur,Chattisgarh,Kawardha,Kawardha,CHATTISGARH,NA,Kawardha S.O,Rajnandgaon H.O,81.2032031,22.01128904736842,22.01128904736842,81.2032031
Sarda B.O,491332,B.O,Delivery,Durg,Raipur,Chattisgarh,Berla,Durg,CHATTISGARH,NA,Berla S.O,Durg H.O,81.531695575,21.547230275,21.547230275,81.531695575
Sarkheda B.O,491229,B.O,Delivery,Durg,Raipur,Chattisgarh,Manpur,Rajnandgaon,CHATTISGARH,NA,Manpur S.O (Rajnandgaon),Rajnandgaon H.O,80.81566075,20.4353668,20.4353668,80.81566075
Sector 2 Bhilai S.O,490001,S.O,Non-Delivery,Durg,Raipur,Chattisgarh,Durg,Durg,CHATTISGARH,0788-2222967,NA,Durg H.O,81.33367543333334,21.2025331,21.2025331,81.33367543333334
Sector 3 Bhilai S.O,490001,S.O,Non-Delivery,Durg,Raipur,Chattisgarh,Durg,Durg,CHATTISGARH,0788-2224898,NA,Durg H.O,81.33367543333334,21.2025331,21.2025331,81.33367543333334
Sector 5 Bhilai S.O,490006,S.O,Non-Delivery,Durg,Raipur,Chattisgarh,Durg,Durg,CHATTISGARH,0788-2222837,NA,Durg H.O,81.33493917777778,21.181910577777778,21.181910577777778,81.33493917777778
Sector 6 Bhilai S.O,490006,S.O,Non-Delivery,Durg,Raipur,Chattisgarh,Durg,Durg,CHATTISGARH,0788-2220155,NA,Durg H.O,81.33493917777778,21.181910577777778,21.181910577777778,81.33493917777778
Sector 7 Bhilai S.O,490006,S.O,Non-Delivery,Durg,Raipur,Chattisgarh,Durg,Durg,CHATTISGARH,0788-2261413,NA,Durg H.O,81.33493917777778,21.181910577777778,21.181910577777778,81.33493917777778
Sector 8 Bhilai S.O,490009,S.O,Non-Delivery,Durg,Raipur,Chattisgarh,Durg,Durg,CHATTISGARH,0788-2261412,NA,Durg H.O,81.3180004,21.1946753,21.1946753,81.3180004
Sehamalgi B.O,491559,B.O,Delivery,Durg,Raipur,Chattisgarh,Pandaria,Kawardha,CHATTISGARH,NA,Pandaria S.O,Rajnandgaon H.O,81.36703908333334,22.1334869,22.1334869,81.36703908333334
Selud B.O,491107,B.O,Delivery,Durg,Raipur,Chattisgarh,Patan,Durg,CHATTISGARH,NA,Utai S.O,Durg H.O,81.38527326666666,21.118209666666665,21.118209666666665,81.38527326666666
Semaria B.O,491332,B.O,Delivery,Durg,Raipur,Chattisgarh,Berla,Durg,CHATTISGARH,NA,Berla S.O,Durg H.O,81.531695575,21.547230275,21.547230275,81.531695575
Seoni B.O,491229,B.O,Delivery,Durg,Raipur,Chattisgarh,Manpur,Rajnandgaon,CHATTISGARH,NA,Manpur S.O (Rajnandgaon),Rajnandgaon H.O,80.81566075,20.4353668,20.4353668,80.81566075
Shantipur B.O,491227,B.O,Delivery,Durg,Raipur,Chattisgarh,Gurur,Durg,CHATTISGARH,NA,Gurur S.O,Durg H.O,81.40939302068965,20.71357933103448,20.71357933103448,81.40939302068965
Shikari Mahka B.O,491558,B.O,Delivery,Durg,Raipur,Chattisgarh,Dongargaon,Rajnandgaon,CHATTISGARH,NA,Chhuria S.O,Rajnandgaon H.O,80.75278165,21.0045642,21.0045642,80.75278165
