officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude,latitude,longitude
Sikosa S.O,491222,S.O,Delivery,Durg,Raipur,Chattisgarh,Gunderdehi,Durg,CHATTISGARH,0788-2618522,NA,Durg H.O,81.36927469285715,20.836447714285715,20.836447714285715,81.36927469285715
Silhati B.O,491995,B.O,Delivery,Durg,Raipur,Chattisgarh,Kawardha,Kawardha,CHATTISGARH,NA,Kawardha S.O,Rajnandgaon H.O,81.2032031,22.01128904736842,22.01128904736842,81.2032031
Singangarh B.O,491995,B.O,Delivery,Durg,Raipur,Chattisgarh,Kawardha,Kawardha,CHATTISGARH,NA,Kawardha S.O,Rajnandgaon H.O,81.2032031,22.01128904736842,22.01128904736842,81.2032031
Singarghat B.O,491881,B.O,Delivery,Durg,Raipur,Chattisgarh,Khairagarh Raj,Rajnandgaon,CHATTISGARH,NA,Khairagah Raj S.O,Rajnandgaon H.O,80.97211956666666,21.413342416666666,21.413342416666666,80.97211956666666
Singarpur B.O,491444,B.O,Delivery,Durg,Raipur,Chattisgarh,Rajnandgaon,Rajnandgaon,CHATTISGARH,NA,Ghumka S.O,Rajnandgaon H.O,81.06545818,21.21730794,21.21730794,81.06545818
Singhola B.O,491226,B.O,Delivery,Durg,Raipur,Chattisgarh,Sanjaribalod,Durg,CHATTISGARH,NA,Balod S.O,Durg H.O,81.22395363170732,20.701281207317074,20.701281207317074,81.22395363170732
Singhola B.O,491441,B.O directly a/w Head Office,Delivery,Durg,Raipur,Chattisgarh,Rajnandgaon,Rajnandgaon,CHATTISGARH,NA,NA,Rajnandgaon H.O,81.0270605,21.083687285,21.083687285,81.0270605
Sirri B.O,491221,B.O,Delivery,Durg,Raipur,Chattisgarh,Gunderdehi,Durg,CHATTISGARH,NA,Anda S.O,Durg H.O,81.32512518571428,21.0314496,21.0314496,81.32512518571428
Sirsakala B.O,490021,B.O,Delivery,Durg,Raipur,Chattisgarh,Durg,Durg,CHATTISGARH,NA,Bhilai East S.O,Durg H.O,81.43108305,21.2034121,21.2034121,81.43108305
Sitagaon B.O,491229,B.O,Delivery,Durg,Raipur,Chattisgarh,Manpur,Rajnandgaon,CHATTISGARH,NA,Manpur S.O (Rajnandgaon),Rajnandgaon H.O,80.81566075,20.4353668,20.4353668,80.81566075
Sitagota B.O,491557,B.O,Delivery,Durg,Raipur,Chattisgarh,Chhuria,Rajnandgaon,CHATTISGARH,NA,Chichola S.O,Rajnandgaon H.O,80.6939483,21.1137308,21.1137308,80.6939483
Smriti Nagar Bhilai S.O,490020,S.O,Non-Delivery,Durg,Raipur,Chattisgarh,Durg,Durg,CHATTISGARH,0788-2291700,NA,Durg H.O,81.32578098571427,21.209985114285715,21.209985114285715,81.32578098571427
Somatola B.O,491666,B.O,Delivery,Durg,Raipur,Chattisgarh,Mohla,Rajnandgaon,CHATTISGARH,NA,Mohla S.O,Rajnandgaon H.O,80.74716395,20.5812917,20.5812917,80.74716395
Somni B.O,491441,B.O directly a/w Head Office,Delivery,Durg,Raipur,Chattisgarh,Rajnandgaon,Rajnandgaon,CHATTISGARH,NA,NA,Rajnandgaon H.O,81.0270605,21.083687285,21.083687285,81.0270605
Sonai Dongri B.O,491227,B.O,Delivery,Durg,Raipur,Chattisgarh,Gurur,Durg,CHATTISGARH,NA,Gurur S.O,Durg H.O,81.40939302068965,20.71357933103448,20.71357933103448,81.40939302068965
Sonbarsa B.O,491995,B.O,Delivery,Durg,Raipur,Chattisgarh,Kawardha,Kawardha,CHATTISGARH,NA,Kawardha S.O,Rajnandgaon H.O,81.2032031,22.01128904736842,22.01128904736842,81.2032031
Sondh B.O,491332,B.O,Delivery,Durg,Raipur,Chattisgarh,Berla,Durg,CHATTISGARH,NA,Berla S.O,Durg H.O,81.531695575,21.547230275,21.547230275,81.531695575
Sonpuri B.O,491995,B.O,Delivery,Durg,Raipur,Chattisgarh,Kawardha,Kawardha,CHATTISGARH,NA,Kawardha S.O,Rajnandgaon H.O,81.2032031,22.01128904736842,22.01128904736842,81.2032031
Sorar B.O,491227,B.O,Delivery,Durg,Raipur,Chattisgarh,Gurur,Durg,CHATTISGARH,NA,Gurur S.O,Durg H.O,81.40939302068965,20.71357933103448,20.71357933103448,81.40939302068965
Supela Bhilai S.O,490023,S.O,Delivery,Durg,Raipur,Chattisgarh,Durg,Durg,CHATTISGARH,0788-2295954,NA,Durg H.O,81.36066479230769,21.201140392307693,21.201140392307693,81.36066479230769
Surajpura B.O,491995,B.O,Delivery,Durg,Raipur,Chattisgarh,Kawardha,Kawardha,CHATTISGARH,NA,Kawardha S.O,Rajnandgaon H.O,81.2032031,22.01128904736842,22.01128904736842,81.2032031
Surdongar B.O,491228,B.O,Delivery,Durg,Raipur,Chattisgarh,Dondi Awari,Durg,CHATTISGARH,NA,Dallirajhara S.O,Durg H.O,81.09595541111112,20.563342333333335,20.563342333333335,81.09595541111112
Surdung B.O,490024,B.O,Delivery,Durg,Raipur,Chattisgarh,Durg,Durg,CHATTISGARH,NA,Jamul Cement Works S.O,Durg H.O,81.3820535,21.2517802,21.2517802,81.3820535
Suregaon B.O,491225,B.O,Delivery,Durg,Raipur,Chattisgarh,Gunderdehi,Durg,CHATTISGARH,NA,Arjunda S.O,Durg H.O,81.17582933999999,20.927117226666667,20.927117226666667,81.17582933999999
Surgi B.O,491441,B.O directly a/w Head Office,Delivery,Durg,Raipur,Chattisgarh,Rajnandgaon,Rajnandgaon,CHATTISGARH,NA,NA,Rajnandgaon H.O,81.0270605,21.083687285,21.083687285,81.0270605
Surpa B.O,491223,B.O,Delivery,Durg,Raipur,Chattisgarh,Gunderdehi,Durg,CHATTISGARH,NA,Gunderdehi S.O,Durg H.O,81.33646468947369,20.934323915789474,20.934323915789474,81.33646468947369
Tamora B.O,491221,B.O,Delivery,Durg,Raipur,Chattisgarh,Gunderdehi,Durg,CHATTISGARH,NA,Anda S.O,Durg H.O,81.32512518571428,21.0314496,21.0314496,81.32512518571428
Tappa B.O,491557,B.O,Delivery,Durg,Raipur,Chattisgarh,Chhuria,Rajnandgaon,CHATTISGARH,NA,Chichola S.O,Rajnandgaon H.O,80.6939483,21.1137308,21.1137308,80.6939483
Taraud B.O,491226,B.O,Delivery,Durg,Raipur,Chattisgarh,Balod,Durg,CHATTISGARH,NA,Balod S.O,Durg H.O,81.22395363170732,20.701281207317074,20.701281207317074,81.22395363170732
Tarra B.O,491111,B.O,Delivery,Durg,Raipur,Chattisgarh,Patan,Durg,CHATTISGARH,NA,Patan S.O (Durg),Durg H.O,81.54017246666666,21.042376766666667,21.042376766666667,81.54017246666666
Tarri B.O,491227,B.O,Delivery,Durg,Raipur,Chattisgarh,Gurur,Durg,CHATTISGARH,NA,Gurur S.O,Durg H.O,81.40939302068965,20.71357933103448,20.71357933103448,81.40939302068965
Tatenga B.O,491771,B.O,Delivery,Durg,Raipur,Chattisgarh,Dondi Lohara,Durg,CHATTISGARH,NA,Dondi Lohara S.O,Durg H.O,81.016027624,20.84012526,20.84012526,81.016027624
Tavera B.O,491223,B.O,Delivery,Durg,Raipur,Chattisgarh,Gunderdehi,Durg,CHATTISGARH,NA,Gunderdehi S.O,Durg H.O,81.33646468947369,20.934323915789474,20.934323915789474,81.33646468947369
Tedesara B.O,491441,B.O directly a/w Head Office,Delivery,Durg,Raipur,Chattisgarh,Rajnandgaon,Rajnandgaon,CHATTISGARH,NA,NA,Rajnandgaon H.O,81.0270605,21.083687285,21.083687285,81.0270605
Tekapar B.O,491226,B.O,Delivery,Durg,Raipur,Chattisgarh,Balod,Durg,CHATTISGARH,NA,Balod S.O,Durg H.O,81.22395363170732,20.701281207317074,20.701281207317074,81.22395363170732
Teligundra B.O,491111,B.O,Delivery,Durg,Raipur,Chattisgarh,Patan,Durg,CHATTISGARH,NA,Patan S.O (Durg),Durg H.O,81.54017246666666,21.042376766666667,21.042376766666667,81.54017246666666
Temri B.O,491340,B.O,Delivery,Durg,Raipur,Chattisgarh,Nandghat,Durg,CHATTISGARH,NA,Nandghat S.O,Durg H.O,81.8085755,21.8863205,21.8863205,81.8085755
Temri B.O,491001,B.O directly a/w Head Office,Delivery,Durg,Raipur,Chattisgarh,Durg,Durg,CHATTISGARH,NA,NA,Durg H.O,81.28936781,21.17174938666667,21.17174938666667,81.28936781
Tendunala B.O,491557,B.O,Delivery,Durg,Raipur,Chattisgarh,Chhuria,Rajnandgaon,CHATTISGARH,NA,Chichola S.O,Rajnandgaon H.O,80.6939483,21.1137308,21.1137308,80.6939483
Teregaon B.O,491229,B.O,Delivery,Durg,Raipur,Chattisgarh,Manpur,Rajnandgaon,CHATTISGARH,NA,Manpur S.O (Rajnandgaon),Rajnandgaon H.O,80.81566075,20.4353668,20.4353668,80.81566075
Thakurtola B.O,491888,B.O,Delivery,Durg,Raipur,Chattisgarh,Chhuikhadan,Rajnandgaon,CHATTISGARH,NA,Gandai Pandaria S.O,Rajnandgaon H.O,81.1069182,21.56587275,21.56587275,81.1069182
Themabuzurg B.O,491228,B.O,Delivery,Durg,Raipur,Chattisgarh,Dondi Awari,Durg,CHATTISGARH,NA,Dallirajhara S.O,Durg H.O,81.09595541111112,20.563342333333335,20.563342333333335,81.09595541111112
Thengabhat B.O,491335,B.O,Delivery,Durg,Raipur,Chattisgarh,Bemetara,Durg,CHATTISGARH,NA,Bemetara S.O,Durg H.O,82.039766525,22.1366544875,22.1366544875,82.039766525
Tipni B.O,491338,B.O,Delivery,Durg,Raipur,Chattisgarh,Saja,Durg,CHATTISGARH,NA,Khamaria S.O (Durg),Durg H.O,NA,NA,NA,NA
Tirga B.O,491225,B.O,Delivery,Durg,Raipur,Chattisgarh,Gunderdehi,Durg,CHATTISGARH,NA,Arjunda S.O,Durg H.O,81.17582933999999,20.927117226666667,20.927117226666667,81.17582933999999
Tohe B.O,491229,B.O,Delivery,Durg,Raipur,Chattisgarh,Manpur,Rajnandgaon,CHATTISGARH,NA,Manpur S.O (Rajnandgaon),Rajnandgaon H.O,80.81566075,20.4353668,20.4353668,80.81566075
Tumakala B.O,491001,B.O directly a/w Head Office,Delivery,Durg,Raipur,Chattisgarh,Durg,Durg,CHATTISGARH,NA,NA,Durg H.O,81.28936781,21.17174938666667,21.17174938666667,81.28936781
Tumdibod B.O,491441,B.O directly a/w Head Office,Delivery,Durg,Raipur,Chattisgarh,Rajnandgaon,Rajnandgaon,CHATTISGARH,NA,NA,Rajnandgaon H.O,81.0270605,21.083687285,21.083687285,81.0270605
Udaipur B.O,491885,B.O,Delivery,Durg,Raipur,Chattisgarh,Chhuikhadan,Rajnandgaon,CHATTISGARH,NA,Chhuikhadan S.O,Rajnandgaon H.O,80.96866652,21.58291234,21.58291234,80.96866652
Umarwahi B.O,491661,B.O,Delivery,Durg,Raipur,Chattisgarh,Dongargaon,Rajnandgaon,CHATTISGARH,NA,Dongargaon S.O,Rajnandgaon H.O,80.90764842,20.985626869999997,20.985626869999997,80.90764842
Uparwah B.O,491444,B.O,Delivery,Durg,Raipur,Chattisgarh,Rajnandgaon,Rajnandgaon,CHATTISGARH,NA,Ghumka S.O,Rajnandgaon H.O,81.06545818,21.21730794,21.21730794,81.06545818
Urla B.O,490025,B.O,Delivery,Durg,Raipur,Chattisgarh,Durg,Durg,CHATTISGARH,NA,Bhilai Marshalling Yard S.O,Durg H.O,NA,NA,NA,NA
Usarwahi B.O,491888,B.O,Delivery,Durg,Raipur,Chattisgarh,Gandai Pandaria,Rajnandgaon,CHATTISGARH,NA,Gandai Pandaria S.O,Rajnandgaon H.O,81.1069182,21.56587275,21.56587275,81.1069182
Utai Pedal B.O,491107,B.O,Delivery,Durg,Raipur,Chattisgarh,Patan,Durg,CHATTISGARH,NA,Utai S.O,Durg H.O,81.38527326666666,21.118209666666665,21.118209666666665,81.38527326666666
Utai S.O,491107,S.O,Delivery,Durg,Raipur,Chattisgarh,Patan,Durg,CHATTISGARH,0788-2673803,NA,Durg H.O,81.38527326666666,21.118209666666665,21.118209666666665,81.38527326666666
Vaishali Nagar Bhilai S.O,490023,S.O,Non-Delivery,Durg,Raipur,Chattisgarh,Durg,Durg,CHATTISGARH,0788-2294196,NA,Durg H.O,81.36066479230769,21.201140392307693,21.201140392307693,81.36066479230769
Vinayakpur B.O,491221,B.O,Delivery,Durg,Raipur,Chattisgarh,Gunderdehi,Durg,CHATTISGARH,NA,Anda S.O,Durg H.O,81.32512518571428,21.0314496,21.0314496,81.32512518571428
Wasadi B.O,491665,B.O,Delivery,Durg,Raipur,Chattisgarh,Ambagarh Chowki,Rajnandgaon,CHATTISGARH,NA,Ambagarh Chowki S.O,Rajnandgaon H.O,80.76151414285715,20.7477299,20.7477299,80.76151414285715
Ajabnagar B.O,497001,B.O directly a/w Head Office,Delivery,Raigarh,Raipur,Chattisgarh,NA,Surguja,CHATTISGARH,NA,NA,Ambikapur H.O,83.16133458490566,23.1077110754717,23.1077110754717,83.16133458490566
Ambikapur H.O,497001,H.O,Delivery,Raigarh,Raipur,Chattisgarh,Ambikapur,Surguja,CHATTISGARH,07774-220952,NA,NA,83.16133458490566,23.1077110754717,23.1077110754717,83.16133458490566
Ambikapur Nyalaya S.O,497001,S.O,Non-Delivery,Raigarh,Raipur,Chattisgarh,Ambikapur,Surguja,CHATTISGARH,07774-222366,NA,Ambikapur H.O,83.16133458490566,23.1077110754717,23.1077110754717,83.16133458490566
Ambikapur Town S.O,497001,S.O,Non-Delivery,Raigarh,Raipur,Chattisgarh,Ambikapur,Surguja,CHATTISGARH,07774-222364,NA,Ambikapur H.O,83.16133458490566,23.1077110754717,23.1077110754717,83.16133458490566
Amgaon B.O,496107,B.O,Delivery,Raigarh,Raipur,Chattisgarh,NA,Raigarh,CHATTISGARH,NA,Tamnar S.O,Raigarh H.O,83.45357225,22.0324891,22.0324891,83.45357225
Amjhar B.O,496551,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Sarangarh,Raigarh,CHATTISGARH,NA,Baramkela S.O,Raigarh H.O,83.2783685,21.53263745,21.53263745,83.2783685
Amlipali B.O,496551,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Sarangarh,Raigarh,CHATTISGARH,NA,Baramkela S.O,Raigarh H.O,83.2783685,21.53263745,21.53263745,83.2783685
Anjoripali B.O,496661,B.O,Delivery,Raigarh,Raipur,Chattisgarh,NA,Raigarh,CHATTISGARH,NA,Kharsia S.O,Raigarh H.O,83.126162,21.977436876190477,21.977436876190477,83.126162
Ankira B.O,496245,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Kunkuri,Jashpur,CHATTISGARH,NA,Lawakera S.O,Raigarh H.O,83.86124115,22.36999995,22.36999995,83.86124115
Annapara B.O,497220,B.O,Delivery,Raigarh,Raipur,Chattisgarh,NA,Surguja,CHATTISGARH,NA,Ramanujganj S.O,Ambikapur H.O,83.57153603200001,23.749082196,23.749082196,83.57153603200001
Arabalrampur B.O,497001,B.O directly a/w Head Office,Delivery,Raigarh,Raipur,Chattisgarh,NA,Surguja,CHATTISGARH,NA,NA,Ambikapur H.O,83.16133458490566,23.1077110754717,23.1077110754717,83.16133458490566
Aragarhi Camp B.O,497220,B.O,Delivery,Raigarh,Raipur,Chattisgarh,NA,Surguja,CHATTISGARH,NA,Ramanujganj S.O,Ambikapur H.O,83.57153603200001,23.749082196,23.749082196,83.57153603200001
Arooti B.O,497116,B.O,Delivery,Raigarh,Raipur,Chattisgarh,NA,Surguja,CHATTISGARH,NA,Lakhanpur S.O (Surguja),Ambikapur H.O,83.0187313625,23.02542425,23.02542425,83.0187313625
Arra B.O,496331,B.O,Delivery,Raigarh,Raipur,Chattisgarh,NA,Jashpur,CHATTISGARH,NA,Jashpurnagar S.O,Raigarh H.O,84.1493431,22.88821348,22.88821348,84.1493431
Asta B.O,496330,B.O,Delivery,Raigarh,Raipur,Chattisgarh,NA,Jashpur,CHATTISGARH,NA,Manora S.O (Jashpur),Raigarh H.O,83.968753,23.117405,23.117405,83.968753
Aurda B.O,496100,B.O,Delivery,Raigarh,Raipur,Chattisgarh,NA,Raigarh,CHATTISGARH,NA,Kondatarai S.O,Raigarh H.O,83.32370775,21.7868661,21.7868661,83.32370775
Aurda B.O,496661,B.O,Delivery,Raigarh,Raipur,Chattisgarh,NA,Raigarh,CHATTISGARH,NA,Kharsia S.O,Raigarh H.O,83.126162,21.977436876190477,21.977436876190477,83.126162
Babouli B.O,497101,B.O,Delivery,Raigarh,Raipur,Chattisgarh,NA,Surguja,CHATTISGARH,NA,Batouli S.O,Ambikapur H.O,83.4042239,23.04036182857143,23.04036182857143,83.4042239
Bachhraon B.O,496224,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Bagicha,Jashpur,CHATTISGARH,NA,Bagicha S.O,Raigarh H.O,83.6555563,22.9768562,22.9768562,83.6555563
Bada Karonja B.O,496338,B.O,Delivery,Raigarh,Raipur,Chattisgarh,NA,Jashpur,CHATTISGARH,NA,Gholeng S.O,Raigarh H.O,84.3508685,22.9555469,22.9555469,84.3508685
Bade Deogaon B.O,496661,B.O,Delivery,Raigarh,Raipur,Chattisgarh,NA,Raigarh,CHATTISGARH,NA,Kharsia S.O,Raigarh H.O,83.126162,21.977436876190477,21.977436876190477,83.126162
Badebhandar B.O,496100,B.O,Delivery,Raigarh,Raipur,Chattisgarh,NA,Raigarh,CHATTISGARH,NA,Kondatarai S.O,Raigarh H.O,83.32370775,21.7868661,21.7868661,83.32370775
Badegantuli` B.O,496450,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Sarangarh,Raigarh,CHATTISGARH,NA,Hardi S.O (Raigarh),Raigarh H.O,83.1639982,21.6651247,21.6651247,83.1639982
Badehardi B.O,496440,B.O,Delivery,Raigarh,Raipur,Chattisgarh,NA,Raigarh,CHATTISGARH,NA,Pussore S.O,Raigarh H.O,83.4192159,21.76526185,21.76526185,83.4192159
Badenawapara B.O,496554,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Sarangarh,Raigarh,CHATTISGARH,NA,Saria S.O,Raigarh H.O,83.33380585,21.63827965,21.63827965,83.33380585
Badsara B.O,497331,B.O,Delivery,Raigarh,Raipur,Chattisgarh,NA,Koriya,CHATTISGARH,NA,Patna S.O,Ambikapur H.O,82.7345876,23.30465445,23.30465445,82.7345876
Bagbahar B.O,496220,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Jashpurnagar,Jashpur,CHATTISGARH,NA,Ludeg S.O,Raigarh H.O,83.64797515714285,22.54841252857143,22.54841252857143,83.64797515714285
Baghadola B.O,496440,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Raigarh,Raigarh,CHATTISGARH,NA,Pussore S.O,Raigarh H.O,83.4192159,21.76526185,21.76526185,83.4192159
Baghima B.O,497001,B.O directly a/w Head Office,Delivery,Raigarh,Raipur,Chattisgarh,Rajpur,Surguja,CHATTISGARH,NA,NA,Ambikapur H.O,83.16133458490566,23.1077110754717,23.1077110754717,83.16133458490566
Bagicha S.O,496224,S.O,Delivery,Raigarh,Raipur,Chattisgarh,Bagicha,Jashpur,CHATTISGARH,07769-241230,NA,Raigarh H.O,83.6555563,22.9768562,22.9768562,83.6555563
Bagudega B.O,496115,B.O,Delivery,Raigarh,Raipur,Chattisgarh,NA,Raigarh,CHATTISGARH,NA,Rajpur (RIH) S.O,Raigarh H.O,NA,NA,NA,NA
Baharasi B.O,497778,B.O,Delivery,Raigarh,Raipur,Chattisgarh,NA,Koriya,CHATTISGARH,NA,Janakpur S.O,Ambikapur H.O,81.995850875,23.672312025,23.672312025,81.995850875
Bahirkela B.O,496111,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Gharghoda,Raigarh,CHATTISGARH,NA,Gharghoda S.O,Raigarh H.O,83.36323568333334,22.197314433333336,22.197314433333336,83.36323568333334
Bahma B.O,496220,B.O,Delivery,Raigarh,Raipur,Chattisgarh,NA,Jashpur,CHATTISGARH,NA,Ludeg S.O,Raigarh H.O,83.64797515714285,22.54841252857143,22.54841252857143,83.64797515714285
Bahora B.O,496336,B.O,Delivery,Raigarh,Raipur,Chattisgarh,NA,Jashpur,CHATTISGARH,NA,Sanna S.O,Raigarh H.O,NA,NA,NA,NA
Baihamunda B.O,496111,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Gharghoda,Raigarh,CHATTISGARH,NA,Gharghoda S.O,Raigarh H.O,83.36323568333334,22.197314433333336,22.197314433333336,83.36323568333334
Baijnathpur B.O,497231,B.O,Delivery,Raigarh,Raipur,Chattisgarh,NA,Surguja,CHATTISGARH,NA,Bhaiyathan S.O,Ambikapur H.O,82.81767298333334,23.497621,23.497621,82.81767298333334
Baikunthapur S.O,497335,S.O,Delivery,Raigarh,Raipur,Chattisgarh,NA,Koriya,CHATTISGARH,07836-233126,NA,Ambikapur H.O,82.54227245,23.242552475,23.242552475,82.54227245
Bairagi B.O,496118,B.O,Delivery,Raigarh,Raipur,Chattisgarh,NA,Jashpur,CHATTISGARH,NA,Pathalgoan S.O,Raigarh H.O,83.44486886666667,22.577270866666666,22.577270866666666,83.44486886666667
