officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Ngairou B.O,795142,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Ukhrul,MANIPUR,NA,Ukhrul S.O,Imphal H.O,NA,NA
Ngangkha Lawi B.O,795133,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Bishnupur,MANIPUR,NA,Moirang S.O,Imphal H.O,NA,NA
Ngaphabung B.O,795116,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal West,MANIPUR,NA,Jiribam Bazar S.O,Imphal H.O,NA,NA
Ngari Khullen B.O,795144,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Ukhrul,MANIPUR,NA,Somdal S.O,Imphal H.O,NA,NA
Ngarian B.O,795126,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Bishnupur,MANIPUR,NA,Bishnupur S.O (Bishnupur),Imphal H.O,NA,NA
Ningombam B.O,795003,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal West,MANIPUR,NA,Manipur University S.O,Imphal H.O,NA,NA
Ningthemchakhul B.O,795010,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal East,MANIPUR,NA,Lamlong S.O,Imphal H.O,NA,NA
Ningthoukhong B.O,795126,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Bishnupur,MANIPUR,NA,Bishnupur S.O (Bishnupur),Imphal H.O,NA,NA
Nodoom Bazar B.O,795103,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Thoubal,MANIPUR,NA,Kakching S.O,Imphal H.O,NA,NA
None S.O,795159,S.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Tamenglong,MANIPUR,0385-2450652,NA,Imphal H.O,NA,NA
Nongdam Tangkhul B.O,795010,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal East,MANIPUR,NA,Lamlong S.O,Imphal H.O,NA,NA
Nongoda B.O,795010,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal East,MANIPUR,NA,Lamlong S.O,Imphal H.O,NA,NA
Nongpok Sekmai B.O,795149,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Thoubal,MANIPUR,NA,Yairipok S.O,Imphal H.O,NA,NA
Noremthong Bazar B.O,795004,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal West,MANIPUR,NA,Lamphelpat S.O,Imphal H.O,NA,NA
Nungba S.O,795147,S.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Tamenglong,MANIPUR,0385-2450652,NA,Imphal H.O,NA,NA
Nungbi Khunou B.O,795142,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Ukhrul,MANIPUR,NA,Ukhrul S.O,Imphal H.O,NA,NA
Nungei B.O,795130,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Thoubal,MANIPUR,NA,Lilong S.O,Imphal H.O,NA,NA
Nungnang B.O,795147,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Tamenglong,MANIPUR,NA,Nungba S.O,Imphal H.O,NA,NA
Nungsai Chiru B.O,795126,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Bishnupur,MANIPUR,NA,Bishnupur S.O (Bishnupur),Imphal H.O,NA,NA
Nungshang B.O,795142,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Ukhrul,MANIPUR,NA,Ukhrul S.O,Imphal H.O,NA,NA
Nungtek B.O,795159,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Tamenglong,MANIPUR,NA,None S.O,Imphal H.O,NA,NA
Nungthangtampak B.O,795133,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Bishnupur,MANIPUR,NA,Moirang S.O,Imphal H.O,NA,NA
Nurathel B.O,795107,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Senapati,MANIPUR,NA,Motbung S.O,Imphal H.O,NA,NA
Oinam B.O,795134,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Bishnupur,MANIPUR,NA,Nambol S.O,Imphal H.O,NA,NA
